Job_Title,Tech_Stack,Programming_Language,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Total_Work_Hour,Province,Salary_Min,Salary_Max,Recruitment_Count,Language,Company Name,Company URL,Job Type,Deadline,Academic Level,Benefits,Level,URL,Role
Engineers (Hardware & Software),"['CATIA', 'STREAM', 'LTSPICE', 'MATLAB', 'EXCEL', 'POWERPOINT', 'OSCILLOSCOPE']","['C', 'C++', 'C#', 'MACRO', 'LIN', 'CAN']",,,,['Hồ Chí Minh'],12000000.0,,1,['tiếng Nhật'],TRUNG TÂM KỸ THUẬT MITSUBA VIỆT NAM,https://www.topcv.vn/cong-ty/trung-tam-ky-thuat-mitsuba-viet-nam/192814.html,Toàn thời gian,25/05/2025,Đại Học trở lên,"・Lương : khi thực tập thì không nhận lương (sau khi trở thành nhân viên chính thức thì Gross 12.000.000VND trở lên )・Training: Đào tạo chuyên môn công việc từ cơ bản đến nâng cao và sử dụng các phần mềm chuyên dụng. Được đào tạo tiếng Nhật (nhân viên chính thức)・Có cơ hội làm việc Nhật Bản (Mitsuba Japan)
・Đóng đầy đủ BHXH, phép năm 12 ngày theo luật lao động VN
・Du lịch công ty hàng năm
・Trợ cấp tiếng Nhật, Anh...",Nhân viên,https://www.topcv.vn/viec-lam/engineers-hardware-software/1708584.html?ta_source=ITJobs_LinkDetail,Software Engineer
Mobile Trading System Developer - Android / IOS,"['HTML', 'CSS', 'GIT/SVN', 'IONIC FRAMEWORK', 'REACT', 'FRAMEWORK VUE']",['JAVASCRIPT'],2,6,45.0,['Hồ Chí Minh'],22000000.0,45000000.0,1,"['tiếng Việt', 'tiếng Anh']",CÔNG TY TNHH DAOUKIWOOM INNOVATION,https://www.topcv.vn/cong-ty/cong-ty-tnhh-daoukiwoom-innovation/79811.html,Toàn thời gian,30/05/2025,Đại Học trở lên,"Income & Achievement Competitive salary, salary review once a year 13th month salary and Annual Performance BonusMVP and Shining star awards at the end of year Global and professional working environment Workplace Happiness Full SHUI as Vietnamese Law Premium Private Medical Insurance PVI and annual health check 15-day annual leave, Christmas leave and 30-min menstrual leave for women Company trip, YEP and monthly gathering time Gifts on special occasion and fully stocked snack corner Sponsored training courses and book purchase quarterly Be well-equipped with new working equipmentSpecial OfferProviding training and education experience in Korea with Korean Finance/IT expert Providing opportunities to work and support in IT/Finance fields overseas.",Nhân viên,https://www.topcv.vn/viec-lam/mobile-trading-system-developer-android-ios/1619871.html?ta_source=ITJobs_LinkDetail,Mobile Developer
Kỹ Sư Phát Triển Phần Mềm ( C/ C++/ Java / Golang / Android / IOS ),"['UML', 'FINTECH', 'SQL']","['C', 'C++', 'JAVA', 'GOLANG', 'ANDROID', 'IOS']",,,,"['Hà Nội', 'Hồ Chí Minh']",15640000.0,55000000.0,10,['tiếng Anh'],TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,https://www.topcv.vn/cong-ty/tap-doan-cong-nghiep-vien-thong-quan-doi/198518.html,Toàn thời gian,15/05/2025,Đại Học trở lên,"Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn
Chính sách thưởng hấp dẫn: thưởng năm, thưởng ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel
Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm
Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam
Cơ hội thăng tiến rõ ràng với nhiều cấp bậc
Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạn
Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời.
Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình.
Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người
Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,...
Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày
Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng",Nhân viên,https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-c-c-java-golang-android-ios/1694899.html?ta_source=ITJobs_LinkDetail,Software Engineer
Quản Trị Dự Án Triển Khai Phần Mềm,,,2,6,40.0,"['Hà Nội', 'Hồ Chí Minh', 'Hải Phòng']",20000000.0,40000000.0,5,['tiếng Việt'],Công ty cổ phần Onenet,https://www.topcv.vn/cong-ty/cong-ty-co-phan-onenet/64819.html,Toàn thời gian,24/05/2025,Cao Đẳng trở lên,"Thu nhập 20.000.000 – 40.000.000 đồng/tháng (Thỏa thuận theo năng lực ứng viên)Hỗ trợ chi phí  + công tác phíThời gian làm việc: 8h00 – 12h00 và 13h30 – 17h30 (Thứ 2 – Thứ 6) + thời gian theo yêu cầu công việcHưởng ít nhất 13 tháng lương/năm, và các khoản thưởng Tết, thưởng năng suất, thưởng hoàn thành theo dự án và thưởng cá nhân tiêu biểu. Đảm bảo đầy đủ chế độ BHXH, BHYT, nghỉ phép theo quy định của nhà nước.Hưởng chế độ phúc lợi hàng năm của Công ty cho bản thân và gia đình: du lịch, hiếu hỷ....",Quản lý / Giám sát,https://www.topcv.vn/viec-lam/quan-tri-du-an-trien-khai-phan-mem-thu-nhap-upto-40-trieu-dong/1177532.html?ta_source=ITJobs_LinkDetail,IT Project Manager
"Chuyên Viên Cao Cấp Phát Triển Ứng Dụng Kênh Ngân Hàng Số (Java, .Net)","['J2EE', 'WEB SERVICE', 'JMS', 'ORACLE DATABASE', 'MYSQL', 'POSTGRE SQL', 'ESB', 'EIP', 'MICROSERVICES', 'CI/CD', 'ELK', 'SPLUNK', 'PROMETHEUS', 'GRAFANA', 'IDE', 'GIT', 'ANT', 'AWS', 'AZUSE', 'AGILE', 'SCRUM', 'WATERFALL']","['JAVA', '.NET']",,,,['Hà Nội'],,,1,['tiếng Anh'],Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển – PGBank,https://www.topcv.vn/cong-ty/ngan-hang-thuong-mai-co-phan-thinh-vuong-va-phat-trien-pgbank/201128.html,Toàn thời gian,23/05/2025,Đại Học trở lên,"Chế độ phúc lợi
Lương và phụ cấp
Lương nhân viên PG Bank được áp dụng từ việc khảo sát mức lương thực tế của ngành và thị trường. Khung lương được xây dựng cho 9 cấp/ bậc của công việc, dải lương rộng cho phép thu hút được những ứng viên tiềm năng và đảm bảo trả mức lương cạnh tranh cao cho mọi vị trí. Ngoài chế độ lương cạnh tranh, nhân viên PG Bank còn được hưởng rất nhiều chế độ phụ cấp khác theo đặc thù công việc như phụ cấp điện thoại, phụ cấp ăn trưa, phụ cấp đi lại ... , chế độ tham quan nghỉ mát hàng năm, tặng quà cho CBNV nhân dịp sinh nhật, thăm hỏi ốm đau, kết hôn, hỗ trợ thai sản.
Chế độ khen thưởng: PG Bank có chế độ đãi ngộ nhân viên xứng đáng với năng lực và đóng góp của từng cá nhân. Về cơ bản, PG Bank có chế độ thưởng như sau:+ Thưởng theo kết quả kinh doanh
+ Thưởng hoàn thành công việc
+ Thưởng cho tập thể, cá nhân tiêu biểu trong năm
+ Thưởng đột xuất cho tập thể, cá nhân hoàn thành xuất sắc nhiệm vụ, có sáng kiến, đóng góp có giá trị cho Ngân hàng, thưởng do hoàn thành vượt mức kế hoạch được giao.
+ Thưởng cho toàn bộ CBNV ngân hàng trong các dịp lễ tết.
Chế độ bảo hiểm:
Tất cả nhân viên chính thức của PG Bank đều được tham gia Bảo hiểm xã hội, Bảo hiểm y tế và bảo hiểm thất nghiệp theo đúng quy định của Luật lao động hiện hành. Ngoài ra, tất cả nhân viên chính thức của PG Bank đều được mua thêm bảo hiểm Pijico, một gói bảo hiểm rất ưu việt giúp thanh toán các chi phí y tế như tiền thuốc, tiền viện phí... khi khám chữa bệnh tại các bệnh viện tốt nhất tại địa phương.
Đào tạo và phát triển nguồn nhân lực
Công tác đào tạo và phát triển nguồn nhân lực luôn được chú trọng và phát triển tại PG Bank. Với mục tiêu xây dựng nguồn nhân lực có năng lực và tính chuyên nghiệp cao đáp ứng chiến lược phát triển nhanh và bền vững của Ngân hàng, chuẩn bị nhân sự kế nhiệm cấp điều hành cho Ngân hàng, PG Bank thường xuyên tổ chức cho nhân viên tham dự các khóa đào tạo trong và ngoài nước, các khóa đào tạo của NHNN, Hiệp hội ngân hàng, các tổ chức đào tạo có uy tín khác nhằm nâng cao trình độ chuyên môn, nâng cao kỹ năng làm việc hiệu quả và các kỹ năng quản lý, lãnh đạo trong từng giai đoạn, vị trí công tác.
Cơ hội thăng tiến
Tại PG Bank, nhân viên được làm việc trong môi trường cạnh tranh lành mạnh, rất nhiều cơ hội phát triển, thăng tiến đang chờ đón các bạn.",Nhân viên,https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-phat-trien-ung-dung-kenh-ngan-hang-so-java-net/1649372.html?ta_source=ITJobs_LinkDetail,System Engineer
Kỹ Sư Ứng Dụng AI,"['AI', 'DEEP LEARNING', 'QA', 'QC']","['C', 'C#', 'PYTHON', 'VB']",,,,['Hà Nội'],,,2,"['tiếng Việt', 'tiếng Anh']",CÔNG TY TNHH TDMK,https://www.topcv.vn/cong-ty/cong-ty-tnhh-tdmk/200079.html,Toàn thời gian,30/05/2025,Đại Học trở lên,"- Mức lương hấp dẫn theo thoả thuận.- Thưởng và các chế độ đãi ngộ khác theo năng lực và đóng góp cho công ty.
- Hưởng các chế độ BHXH, BHYT, thăm quan du lịch hàng năm....
- Có cơ hội thăng tiến trong nghề nghiệp.",Nhân viên,https://www.topcv.vn/viec-lam/application-software-engineer-ky-su-ung-dung-ai-c-c-python-vb-yeu-cau-tu-1-nam-kinh-nghiem-phan-mem-va-phan-cung-uu-tien-tot-nghiep-ky-thuat-dien-tu-dong-hoa/1521392.html?ta_source=ITJobs_LinkDetail,AI Engineer
"Lập trình viên (Back-End, Front-End, Fullstack)","['HTML5', 'CSS', 'POSTGRESQL', 'ORACLE', 'MYSQL', 'MSSQL', 'GIT', 'DJANGO', 'REACTJS', 'BOOTSTRAP', 'AWS', 'AZURE', 'GCP', 'DOCKER', 'KUBERNETES', 'CI/CD', 'SPLUNK', 'ELK', 'OPENSEARCH', 'BIG DATA', 'AI']","['PYTHON', 'JAVASCRIPT']",2,6,45.0,['Hồ Chí Minh'],,,3,"['tiếng Việt', 'tiếng Anh', 'tiếng Hàn']","CHI NHÁNH GAION CO., LTD TẠI VIỆT NAM",https://www.topcv.vn/cong-ty/chi-nhanh-gaion-co-ltd-tai-viet-nam/194348.html,Toàn thời gian,31/05/2025,Đại Học trở lên,"Comprehensive insurance coverage (Health, Work, Accident).13th-month salary bonus.Additional bonuses for outstanding employees.Laptop provided for new employees.Extra subsidy for working on remote projects.",Nhân viên,https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end-front-end-fullstack/1644422.html?ta_source=ITJobs_LinkDetail,Software Engineer
Academic Specialist Of ICT Programmes,"['GIẢI QUYẾT VẤN ĐỀ', 'KIỂM THỬ PHẦN MỀM', 'PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG', 'QUẢN LÝ DỰ ÁN PHẦN MỀM']",,2,7,43.5,['Hà Nội'],15000000.0,20000000.0,1,"['tiếng Việt', 'tiếng Anh']",Công ty Cổ phần ICDL Việt Nam,https://www.topcv.vn/cong-ty/cong-ty-co-phan-icdl-viet-nam/139261.html,Toàn thời gian,25/05/2025,Đại Học trở lên,"Mức lương và chế độ phúc lợi cạnh tranh, có thể thoả thuận theo trình độ và kinh nghiệm của ứng viên;Được làm việc trong môi trường năng động, chuyên nghiệp;Được đào tạo thêm trong quá trình làm việc;Đóng BHXH sau khi hết thử việc và các chế độ khác theo luật định.",Nhân viên,https://www.topcv.vn/viec-lam/academic-specialist-of-ict-programmes/1667906.html?ta_source=ITJobs_LinkDetail,Công nghệ thông tin khác
Fresher Sap Functional (Tiếng Pháp/Tiếng Đức ),"['ERP', 'SAP']",,2,6,,['Hà Nội'],6000000.0,8000000.0,15,"['tiếng Việt', 'tiếng Pháp', 'tiếng Đức']",FPT Software,https://www.topcv.vn/cong-ty/fpt-software/201091.html,Toàn thời gian,23/05/2025,Đại Học trở lên,"Được nhận trợ cấp đào tạo hàng tháng từ: 6,000,000 VNĐ - 8,000,000 VNĐ trong giai đoạn đào tạo.Sau đào tạo: Tham gia làm việc tại các dự án với mức thu nhập hấp dẫn tương xứng với kỹ năng và kinh nghiệm của bạn (trung bình từ 12-15M/tháng) tùy theo kết quả đào tạo và làm việc.Được hưởng các chế độ đãi ngộ đặc biệt của FPT Software khi trở thành nhân viên chính thức, bao gồm: Xét tăng lương 2 lần/ năm; Được đóng BHXN, BHYT, BHTN theo quy định của nhà nước; Bảo hiểm FPT Care và chế độ nghỉ mát đặc biệt dành riêng cho nhân viên công ty. Cơ hội phát triển bản thân và làm việc cùng các chuyên gia giỏi nhất của FPT Software và khách hàng lớn đến từ Mỹ, Hàn Quốc, Nhật Bản...Trải nghiệm văn hóa đặc trưng, môi trường làm việc hiện đại bậc nhất Việt Nam tại các Campus của FPT Software.Cơ hội phát triển bản thân và làm việc cùng các chuyên gia giỏi nhất của FPT Software và khách hang lớn trên toàn thế giới.Có cơ hội onsite Bắc Mỹ (Mỹ, Canada), Châu Âu (Đức, Pháp...), Nhật Bản, Hàn Quốc, Singapore, Australia, ... nếu thể hiện được năng lực kỹ thuật và ngoại ngữ tốt.",Thực tập sinh,https://www.topcv.vn/viec-lam/fresher-sap-functional-tieng-phap-tieng-duc/1674144.html?ta_source=ITJobs_LinkDetail,Business Analyst (Phân tích nghiệp vụ)
Trưởng Phòng Công Nghệ,"['PROPTECH', 'ERP', 'CRM', 'SALESFORCE', 'HUBSPOT', 'JIRA', 'BASECAMP', 'AI', 'IOT', 'BLOCKCHAIN', 'BI TOOLS']",['SQL'],,,,['Hà Nội'],20000000.0,30000000.0,1,['tiếng Việt'],CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN HOME PLUS,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-bat-dong-san-home-plus/192895.html,Toàn thời gian,10/05/2025,Đại Học trở lên,"- Lương cạnh tranh (Từ 20tr/th – 30tr/th)
- Môi trường ứng dụng công nghệ hiện đại.
- Cơ hội thăng tiến, xây dựng đội ngũ.",Trưởng/Phó phòng,https://www.topcv.vn/viec-lam/truong-phong-cong-nghe-chief-technology-officer-cto-it-manager/1683810.html?ta_source=ITJobs_LinkDetail,IT Project Manager
Home Trading System Developer,"['MVC', 'SVN', 'MVVM', 'MFC', 'WINDOWS APPLICATION']","['C++', 'JAVASCRIPT']",2,6,45.0,['Hồ Chí Minh'],22000000.0,45000000.0,1,['tiếng Anh'],CÔNG TY TNHH DAOUKIWOOM INNOVATION,https://www.topcv.vn/cong-ty/cong-ty-tnhh-daoukiwoom-innovation/79811.html,Toàn thời gian,30/05/2025,Đại Học trở lên,"Competitive salary, salary review once a year13th month salary and Annual Performance BonusFull SHUI as Vietnamese LawPVI - Premium Private Medical Insurance and annual health check15-day annual leave, Christmas leave and 30-mins menstrual leave for womenMVP and Shining star awards at the end of yearGlobal and professional working environmentCompany trip, YEP and monthly gathering timeGifts on special occasion and fully stocked snack cornerSponsored training courses and book purchase quarterlyBe well-equipped with new working equipmentSPECIAL OFFERProviding training and education experience in Korea with Korean Finance/IT expert Providing opportunities to work and support in IT/Finance fields overseas",Nhân viên,https://www.topcv.vn/viec-lam/home-trading-system-developer/1639328.html?ta_source=ITJobs_LinkDetail,Frontend Developer
Chương Trình Đào Tạo Nghề Thang Máy/Thang Cuốn - Tại Hà Nội,"['ĐIỆN/ĐIỆN TỬ', 'CƠ-ĐIỆN TỬ', 'CNTT']",,2,6,,['Hà Nội'],,,10,"['tiếng Việt', 'tiếng Anh']",CÔNG TY TNHH KONE VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-kone-viet-nam/131023.html,Thực tập,31/05/2025,Cao Đẳng trở lên,"Trợ cấp dành cho Thực tập sinhBảo hiểm công trình 24/24 (PTI)Phụ cấp học nghề (đi lại, gửi xe, ăn uống)Phụ cấp đào tạo tại HCM Công ty chi trả vé máy bay, chỗ ở,..)Trang thiết bị học nghề (Dụng cụ chuyên dụng, đồ bảo hộ PPE..)",Thực tập sinh,https://www.topcv.vn/viec-lam/chuong-trinh-dao-tao-nghe-thang-may-thang-cuon-tai-ha-noi/1682784.html?ta_source=ITJobs_LinkDetail,IT Helpdesk/IT support
Chuyên Viên Đánh Giá An Ninh Thông Tin - Pentester ( 2 Năm Kinh Nghiệm),"['WEB', 'MOBILE', 'CLOUD SECURITY', 'DEVSECOPS']",,,7,,['Hà Nội'],,31920000.0,1,['tiếng Việt'],Công ty TNHH Thu phí tự động VETC,https://www.topcv.vn/cong-ty/cong-ty-tnhh-thu-phi-tu-dong-vetc/18795.html,Toàn thời gian,05/05/2025,Đại Học trở lên,"Gói thu nhập đến 16 tháng lương/ nămXét tăng lương theo năng lực và kết quả công việc định kỳ 1 lần/ năm hoặc tăng lương đột xuất theo hiệu quả công việcBẢO HIỂM VÀ CHÍNH SÁCH PHÚC LỢIChế độ Bảo hiểm sức khỏe cho bản thân và người nhàNghỉ thứ Bảy, Chủ nhật hàng tuầnDu lịch, Teambuilding/ dã ngoại định kỳ hàng nămChế độ mừng sinh con, quà nhân ngày Lễ/ Tết, quà ngày truyền thống và các chế độ phúc lợi khácCHẾ ĐỘ ĐÀO TẠOTham gia các khóa đào tạo chuyên môn, nâng cao kỹ năng thực hiện công việc, kỹ năng mềm và thi các chứng chỉ CNTT Quốc tế miễn phí tại Công tyĐược tham gia các chương trình đào tạo trước khi bắt đầu công việc và trong quá trình làm việc theo yêu cầu công việcChính sách phát triển, thăng tiến có lộ trình theo từng vị trí, từng phòng ban",Nhân viên,https://www.topcv.vn/viec-lam/chuyen-vien-danh-gia-an-ninh-thong-tin-pentester-2-nam-kinh-nghiem/1682707.html?ta_source=ITJobs_LinkDetail,Kiểm thử và đánh giá bảo mật
Technical Leader,"['J2EE', 'JSP', 'STRUTS', 'SPRING FRAMEWORK', 'MVC', 'SQLSERVER', 'NO-SQL', 'TOMCAT', 'OSGI', 'SOAP', 'REST']","['JAVA', 'SQL']",2,7,44.0,['Hà Nội'],30000000.0,40000000.0,2,['tiếng Việt'],CÔNG TY CỔ PHẦN LIFETEX,https://www.topcv.vn/cong-ty/cong-ty-co-phan-lifetex/178114.html,Toàn thời gian,05/05/2025,Đại Học trở lên,"Lương thỏa thuận theo năng lực làm việc (30 - 40tr gross) Phụ cấp ăn trưa/xăng xe... Hưởng đầy đủ các chế độ về BHXH và cơ chế đãi ngộ theo Quy định của Công ty.Môi trường làm việc, đồng nghiệp trẻ trung, thân thiện, luôn có sự hỗ trợ cùng nhau trong công việcCác chính sách hỗ trợ, thưởng lễ tết theo quy định của công tyĐi du lịch, nghỉ mát hàng năm",Trưởng nhóm,https://www.topcv.vn/viec-lam/technical-leader-truong-nhom-cong-nghe-luong-30-40-trieu-tai-ha-noi/1681869.html?ta_source=ITJobs_LinkDetail,Technical Leader
"Chuyên Viên Hệ Thống ERP, Dingtalk","['SAP', 'ERP', 'T100', 'DINGTALK']","['ABAP', 'BASIC']",,,,['Hưng Yên'],,,1,['tiếng Anh'],CÔNG TY TNHH CÔNG NGHỆ MÔI TRƯỜNG LIHUA (VIỆT NAM),https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-moi-truong-lihua-viet-nam/212322.html,Toàn thời gian,05/05/2025,Đại Học trở lên,"Được làm việc trong môi trường trẻ chuyên nghiệp, năng động, nhiều thách thứcĐược đào tạo và training kiến thức mới nhất trong lĩnh vực phần mềmTham gia bảo hiểm theo và các chính sách theo Quy định chung của nhà nướcCó lộ trình thăng tiến rõ ràngXét thưởng theo hiệu quả công việc",Nhân viên,https://www.topcv.vn/viec-lam/chuyen-vien-he-thong-erp-dingtalk/1679561.html?ta_source=ITJobs_LinkDetail,Quản trị và vận hành bảo mật
Senior Quality Engineer,"['API', 'WEB-SERVICES', 'POSTMAN', 'BROWSERSTACK', 'CURL', 'AGILE', 'SCRUM', 'TDD', 'BDD', 'JIRA', 'CONFLUENCE', 'FIGMA', 'DRAW.IO', 'PLAYWRIGHT', 'CUCUMBER', 'CYPRESS.IO', 'CI/CD', 'JENKINS', 'GIT']","['JAVA', 'JAVASCRIPT']",,,,['Hà Nội'],,,1,['tiếng Anh'],Crossian,https://www.topcv.vn/cong-ty/crossian/44849.html,Toàn thời gian,31/05/2025,Đại Học trở lên,"WHAT YOU CAN EXPECT
At Crossian, our people are the key to our success. We believe in creating an attractive total compensation package (TCP) that not only retains employees but allows them to excel in their profession. These include:
A rewarding management role that has direct impact on the organization
Competitive salary (negotiable depending on what you bring to the table)
Full salary during probation & Guaranteed 13th month salary
12 days work-from-home & 12 days of paid annual leave, plus seniority paid leave
Global health insurance package for yourself and direct family members, plus annual health checkup
Quarterly bonus & Year-end bonus as part of our profit sharing program
A Pantry & a Crossian Cafe stocked with goodies, ready to serve
Other company benefits including 5-star annual Summer Summit, budget for frequent team building activities and other monthly/ quarterly/ annual company events
General company T&D Program
Other benefits in accordance to Company's Policy and Vietnam Labor Laws",Nhân viên,https://www.topcv.vn/viec-lam/senior-quality-engineer-up-to-30-months-of-salary-annually/1585398.html?ta_source=ITJobs_LinkDetail,QA Engineer
"Intern Backend Dev (Java, Python, Net And Japanese)","['.NET', 'FRONTEND', 'OOP', 'DATABASE']","['JAVA', 'PYTHON', 'C++']",2,6,45.0,['Hồ Chí Minh'],4200000.0,6900000.0,10,"['tiếng Việt', 'tiếng Nhật']",CÔNG TY TNHH ISB VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-isb-viet-nam/114323.html,Toàn thời gian,25/06/2025,Cao Đẳng trở lên,With Competitive salary + Lunch allowance Meeting and working with Technie mentorParticipate in full Software Development Life Cycle Fulltime employment after program finishedJapanese culture and working atmosphere discovery.,Thực tập sinh,https://www.topcv.vn/viec-lam/intern-backend-devjava-python-net-and-japanese/1713442.html?ta_source=ITJobs_LinkDetail,Backend Developer
Unity Developer Intern,"['KIẾN THỨC VỀ LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG (OOP)', 'KIỂM SOÁT PHIÊN BẢN (VERSION CONTROL GIT)', 'UNITY ENGINE', 'XỬ LÝ LỖI (DEBUGGING)']",['C#'],2,6,37.5,['Hà Nội'],6000000.0,,2,['tiếng Việt'],Công ty Cổ phần Falcon Technology,https://www.topcv.vn/cong-ty/cong-ty-co-phan-falcon-technology/154490.html,Toàn thời gian,28/05/2025,Đại Học trở lên,"Cơ hội lên chính thức sau thực tập.Khám sức khỏe định kỳ 1 lần/năm.Hỗ trợ cơm trưa, tea-break,...Hỗ trợ đóng dấu thực tập.Du lịch, team building: 3 lần/năm.Môi trường làm việc vô cùng sáng tạo, năng động, được thoải mái chơi các trò chơi tại công ty: bida, PS, board game,...Thời gian làm việc: 8:15 - 17:45 (7,5 giờ/ngày; thứ Hai - thứ Sáu)",Thực tập sinh,https://www.topcv.vn/viec-lam/unity-developer-intern-6m-th-uu-tien-fulltime/1711930.html?ta_source=ITJobs_LinkDetail,Game Developer
QC Engineer,"['WEB', 'MOBILE APP', 'MINI APP', 'API', 'SAAS', 'AUTOMATION TESTING']",,2,6,,['Hồ Chí Minh'],15000000.0,20000000.0,1,['tiếng Việt'],CÔNG TY TNHH CNV HOLDINGS,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cnv-holdings/172591.html,Toàn thời gian,26/05/2025,Cao Đẳng trở lên,"Nghỉ cố định Thứ 7 và Chủ nhật,Review lương 2 lần/năm (nếu làm việc đạt hiệu suất), tối thiểu 1 lần/ năm.Lương thưởng tháng 13, thưởng hiệu suất, du lịch hằng năm,...Môi trường làm việc năng động, sáng tạo và cơ hội thăng tiến.Được tham gia các trình đào tạo nâng cao kỹ năng và kiến thức chuyên môn.Được tiếp cận với sản phẩm, xu hướng về Công nghệ hàng đầu Thế giới.Các chế độ theo Luật lao động hiện hành BHXH, Thưởng Lễ, Tết, Sinh nhật...và các phúc lợi theo quy định của Công ty.",Nhân viên,https://www.topcv.vn/viec-lam/qc-engineer-upto-20tr-nghi-t7-va-cn/1710599.html?ta_source=ITJobs_LinkDetail,QA Engineer
2D Graphic Designer (Anime/Manga Artist),"['PHOTOSHOP', 'SAI', 'CLIP STUDIO']",,2,6,45.0,['Hồ Chí Minh'],9000000.0,20000000.0,2,['tiếng Việt'],Công ty TNHH Ambition Việt Nam,https://www.topcv.vn/cong-ty/cong-ty-tnhh-ambition-viet-nam/34757.html,Toàn thời gian,25/05/2025,Cao Đẳng trở lên,"1. Hàng năm sẽ chi trả lương thưởng vào trước TếtĐược quyết định dựa theo đánh giá và thành quả của cá nhân so với thành tích kinh doanh của công ty.Lấy cả mức độ đạt được mục tiêu và mức độ cống hiển của cá nhân làm đối tượng đánh giá và cung cấp môi trường mà mọi người có thể làm việc với động lực cao hơn.2. Ngày nghỉ căn cứ theo luật Lao động và kỳ nghỉ hè theo luật Công tyỞ công ty chúng tôi, không chỉ có ngày nghỉ dựa theo luật Lao động như ma chay hiếu hỉ, nghỉ thai sản, nghỉ nuôi con nhỏ v.v. mà còn có kỳ nghỉ hè, nhằm thúc đẩy cách làm việc chú trọng tới sự cân bằng giữa công việc và cuộc sống để nhân viên có thể sảng khoái cả về thể chất lẫn tinh thần.3. Tham gia bảo hiểm xã hội, bảo hiểm y tế và khám sức khỏe mỗi năm một lầnThực hiện khám sức khỏe mỗi năm một lần để hỗ trợ sức khỏe cho người lao động.4. Sự kiện: Tổ chức Tiệc tất niên vào cuối nămTổ chức Tiệc tất niên mỗi năm một lần để làm sâu sắc thêm sự gắn bó giữa các nhân viên.5. Chi trả trợ cấp chứng chỉ năng lực tiếng Nhật tùy theo bằng cấp JLPT・BJT※Nội dung của chế độ phúc lợi sẽ thay đổi tùy theo thành tích kinh doanh của Công ty.",Nhân viên,https://www.topcv.vn/viec-lam/2d-graphic-designer-anime-manga-artist/1650229.html?ta_source=ITJobs_LinkDetail,Concept Artist
.Net Developer,"['.NET FRAMEWORK', '.NET CORE FRAMEWORK', 'WEB APPLICATION DEVELOPMENT', 'OBJECT ORIENTED PROGRAMMING']","['C SHARP', 'JAVASCRIPT', 'HTML', 'CSS']",2,6,42.5,['Hồ Chí Minh'],,20000000.0,3,"['tiếng Việt', 'tiếng Anh']",CÔNG TY TNHH GIẢI PHÁP ECR VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-ecr-viet-nam/65835.html,Toàn thời gian,30/05/2025,Đại Học trở lên,"Friendly and comfortable working environmentOpportunity to work directly with foreign customers.Opportunity to learn new technologiesTeam building & company trips at least once a yearPremium healthcare insurance & Full-labor insurance (social, health, unemployed insurances)Bonuses at national Holidays as well as 13th & 14th month bonuses12 days paid leave per yearWorking Hours: 9:00 AM – 6:30 PM from Monday to Friday.Competitive salary",Nhân viên,https://www.topcv.vn/viec-lam/net-developer/1155998.html?ta_source=ITJobs_LinkDetail,Backend Developer
