Job_Title,Tech_Stack,Programming_Language,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Work_On_Saturday,Work_On_Sunday,Total_Work_Hour,Province,Salary_Min,Salary_Max,Recruitment_Count,Language,Job_Type,Academic_Level,Experience_Years,Level,Company_Name,Company_Field,Company_URL,Deadline,URL,Date_Crawl_Module_1,Role
Cloud System Engineer (GCP),"['GOOGLE CLOUD PLATFORM', 'COMPUTE ENGINE', 'CLOUD STORAGE', 'CLOUD VPC', 'CLOUD SQL', 'GOOGLE KUBERNETES ENGINE', 'GKE', 'TERRAFORM', 'GOOGLE CLOUD DEPLOYMENT MANAGER', 'CLOUD SDK', 'GOOGLE CLOUD MONITORING', 'STACKDRIVER', 'IAM', 'INFRASTRUCTURE-AS-CODE', 'IAC', 'CI/CD', 'DEVOPS']","['BASH', 'PYTHON', 'GO']",2,6,False,False,40.0,['Hà Nội'],,,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công Ty TNHH LG CNS VIỆT NAM,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lg-cns-viet-nam/139535.html,23/05/2025,https://www.topcv.vn/viec-lam/cloud-system-engineer-gcp/1705395.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:42:26,System Administrator
Giảng Viên Công Nghệ Thông Tin / Khoa Học Máy Tính,"['WEB', 'MOBILE', 'CSDL', 'HỆ QTCSDL', 'AI', 'HỌC MÁY', 'CLOUD']","['C', 'C++', 'C#', 'PYTHON', 'JAVA', 'SQL']",,,,,,['Hà Nội'],,,6,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Cao học trở lên,1 năm,Nhân viên,Trường Đại học CMC,Giáo dục / Đào tạo,https://www.topcv.vn/cong-ty/truong-dai-hoc-cmc/130845.html,17/05/2025,https://www.topcv.vn/viec-lam/giang-vien-cong-nghe-thong-tin-khoa-hoc-may-tinh/1334503.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:42:43,Công nghệ thông tin khác
Kỹ Sư It Infrastructure,"['TCP IP', 'ROUTING', 'SWITCHING', 'VLAN', 'FIREWALL', 'WINDOWS SERVER', 'LINUX', 'SQL SERVER', 'POSTGRESQL', 'INTRUSION DETECTION PREVENTION SYSTEM (IDS IPS)', 'VPN']",['SQL'],2,6,True,False,54.0,['Hà Nam'],13000000.0,25000000.0,1,['tiếng Trung'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công ty TNHH AUO Việt Nam,Sản xuất,https://www.topcv.vn/cong-ty/cong-ty-tnhh-auo-viet-nam/158313.html,15/06/2025,https://www.topcv.vn/viec-lam/ky-su-it-infrastructure-tieng-trung-13-25-trieu/1652778.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:43:03,Network Engineer
Nhân Viên IT Helpdesk / IT Support,"['IT HELPDESK', 'IT SUPPORT']",,2,6,True,False,54.0,"['Nghệ An', 'Hà Tĩnh']",,,1,"['tiếng Việt', 'tiếng Anh', 'tiếng Hàn']",Toàn thời gian,Cao Đẳng trở lên,2 năm,Nhân viên,CÔNG TY TNHH HAIVINA KIM LIÊN,Sản xuất,https://www.topcv.vn/cong-ty/cong-ty-tnhh-haivina-kim-lien/217025.html,25/05/2025,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk-it-support-nhan-viec-ngay-tai-nghe-an/1708637.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:43:20,IT Helpdesk/IT support
Gaming Channel Editor,"['ADOBE PREMIERE', 'AFTER EFFECTS']",,,,,,,"['Đà Nẵng', 'Hà Nội']",14000000.0,18000000.0,2,['tiếng Việt'],Toàn thời gian,Trung học phổ thông (Cấp 3) trở lên,1 năm,Nhân viên,CÔNG TY TNHH MTV NIA-STUDIO,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mtv-nia-studio/147591.html,22/05/2025,https://www.topcv.vn/viec-lam/gaming-channel-editor/1704696.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:43:39,Game Design
Solution Architect,"['AWS', 'GCP', 'AZURE', 'KUBERNETES', 'TOMCAT', 'REDIS']","['JAVA', 'PYTHON', '.NET CORE', 'SQL']",2,6,False,False,40.0,['Hà Nội'],,,1,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Đại Học trở lên,Trên 5 năm,Nhân viên,Công Ty TNHH LG CNS VIỆT NAM,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lg-cns-viet-nam/139535.html,21/05/2025,https://www.topcv.vn/viec-lam/solution-architect-swa/1701838.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:43:55,Solution Architect
Devops Engineer,"['LINUX', 'UNIX', 'CI/CD', 'ZABBIX', 'ELASTIC', 'ICINGA', 'NAGIOS', 'USU', 'SAP', 'SAP-ARCHITECTURE', 'SAP NETWEAVER', 'DOCKER', 'PODMAN']","['PYTHON', 'SQL']",2,6,False,False,45.0,['Hà Nội'],15000000.0,24000000.0,1,"['tiếng Anh', 'tiếng Đức']",Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công ty TNHH Giải pháp Gisa,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-gisa/155578.html,27/05/2025,https://www.topcv.vn/viec-lam/devops-engineer-yeu-cau-tieng-anh-hoac-tieng-duc-giao-tiep-tot-tu-1-nam-kinh-nghiem/1699522.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:44:09,DevOps Engineer
Unity Developer (Casual/Puzzle) - Junior/Middle,"['UNITY ENGINE', 'XCODE', 'ANDROID STUDIO', 'OBJECT ORIENTED PROGRAMMING (OOP)', 'VERSION CONTROL (GIT)', 'DEBUGGING AND TROUBLESHOOTING']",['C#'],2,6,False,False,47.5,['Hà Nội'],,38250000.0,2,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,SonatGame Studio,IT - Phần mềm,https://www.topcv.vn/cong-ty/sonatgame-studio/21388.html,31/05/2025,https://www.topcv.vn/viec-lam/unity-developer-casual-puzzle-junior-middle/942549.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:44:23,Game Developer
Chuyên Viên Phát Triển Hệ Thống Giáo Dục Số Edtech,"['AI', 'ML', 'JIRA', 'UML', 'DRAW.IO', 'MICROSOFT VISIO', 'LMS']",,,,False,False,,['Hà Nội'],,20000000.0,3,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone,IT - Phần mềm,https://www.topcv.vn/cong-ty/trung-tam-dich-vu-so-mobifone-chi-nhanh-tong-cong-ty-vien-thong-mobifone/201084.html,22/05/2025,https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-he-thong-giao-duc-so-edtech-nghi-thu-7-chu-nhat-thu-nhap-hap-dan/1705124.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:44:44,Công nghệ thông tin khác
Product Owner/ Product Manager,"['AI', 'AGILE']",,2,6,True,False,44.5,"['Hà Nội', 'Hồ Chí Minh']",30000000.0,40000000.0,2,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,2 năm,Trưởng nhóm,EDUPIA,Null,https://www.topcv.vn/brand/educa?id=17270,Null,https://www.topcv.vn/brand/educa/tuyen-dung/product-owner-product-manager-san-pham-ai-learning-j1627339.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:45:06,Product Owner/Product Manager
Giảng Viên Đào Tạo Blockchain/AI,"['BLOCKCHAIN', 'WEB3', 'AI']",,,,,,,['Hồ Chí Minh'],25000000.0,,1,"['tiếng Việt', 'tiếng Anh', 'tiếng Trung']",Toàn thời gian,Đại Học trở lên,Không yêu cầu,Nhân viên,CÔNG TY TNHH THƯƠNG MẠI TƯ VẤN CHUYÊN NGHIỆP TRÍ TUỆ,Khác,https://www.topcv.vn/cong-ty/cong-ty-tnhh-thuong-mai-tu-van-chuyen-nghiep-tri-tue/214922.html,25/05/2025,https://www.topcv.vn/viec-lam/giang-vien-dao-tao-blockchain-ai-luong-khoi-diem-25-trieu-den-65-trieu-tro-cap-thuong/1708419.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:45:21,AI Researcher
IT Manager,"['GIT', 'BITBUCKET', 'JIRA', 'CONFLUENCE', 'JENKINS', 'JFROG', 'DOCKER', 'KUBERNETES', 'NGINX', 'VMWARE', 'PROXMOX', 'VIRTUOZZO', 'FIREWALL', 'ITIL', 'CISSP', 'PMP', 'FREEPBX', 'ACTIVE DIRECTORY']",['SQL'],2,6,False,False,45.0,['Hồ Chí Minh'],,,1,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Cao Đẳng trở lên,5 năm,Quản lý / Giám sát,CÔNG TY TNHH DIGI-TEXX,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-digi-texx/56854.html,01/05/2025,https://www.topcv.vn/viec-lam/it-manager/1676705.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:45:43,IT Project Manager
"Giám Đốc Sản Phẩm Product Director (Crm, Hrm)","['ERP', 'CRM', 'HRM', 'AGILE', 'SCRUM', 'DATABASE', 'API', 'POSTMAN', 'SOAPUI', 'JIRA', 'TRELLO', 'CDP', 'NO-CODE/LOW-CODE', 'AI']",,2,6,True,False,47.25,['Hà Nội'],25400000.0,63500000.0,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Giám đốc,CÔNG TY CỔ PHẦN STRINGEE,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-stringee/75841.html,31/05/2025,https://www.topcv.vn/viec-lam/giam-doc-san-pham-product-director-crm-hrm/1712076.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:45:56,Product Owner/Product Manager
Lập trình viên Mobile Developer,"['REACT NATIVE', 'REST APIS', 'REDUX', 'GIT', 'NEXTJS', 'REACTJS', 'IOS', 'ANDROID', 'MULTITHREAD', 'MEMORY', 'NETWORK']","['JAVASCRIPT', 'SWIFT', 'JAVA', 'KOTLIN']",2,6,False,False,47.5,['Hà Nội'],15000000.0,30000000.0,2,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Cao Đẳng trở lên,3 năm,Nhân viên,Công Ty Cổ Phần Edulive Toàn Cầu,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-edulive-toan-cau/27371.html,11/05/2025,https://www.topcv.vn/viec-lam/lap-trinh-vien-mobile-developer-react-native-tu-3-5-nam-kinh-nghiem-tai-bac-tu-liem-hn-luong-upto-30-trieu/1690792.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:46:16,Mobile Developer
IT Fullstack Mid/Senior,"['REACT', 'DOCKER', 'KUBERNETES', 'AWS', 'CI/CD']","['TYPESCRIPT', 'GOLANG', 'SQL', 'NOSQL']",2,6,False,False,40.0,['Hồ Chí Minh'],30000000.0,80000000.0,5,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Nhân viên,CÔNG TY TNHH DỊCH VỤ GIẢI PHÁP SỐ BETECH,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dich-vu-giai-phap-so-betech/214032.html,28/05/2025,https://www.topcv.vn/viec-lam/it-fullstack-mid-senior-lam-ngay/1710930.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:46:36,Fullstack Developer
Mobile App Developer (React Native),"['REACT NATIVE', 'REST APIS', 'GIT', 'UI/UX', 'IOT']",['JAVASCRIPT'],2,6,True,False,,['Hà Nội'],15000000.0,25000000.0,2,"['tiếng Anh', 'tiếng Việt']",Toàn thời gian,Đại Học trở lên,2 năm,Nhân viên,CÔNG TY CỔ PHẦN YOOTEK HOLDINGS,Khác,https://www.topcv.vn/cong-ty/cong-ty-co-phan-yootek-holdings/184751.html,15/05/2025,https://www.topcv.vn/viec-lam/mobile-app-developer-react-native/1692702.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:46:50,Mobile Developer
Java Developer,"['MYSQL', 'REDIS', 'MEMCACHED', 'KAFKA', 'ELASTICSEARCH', 'DOCKER', 'K8S', 'SPRINGBOOT', 'NETTY', 'APACHE MINA', 'RABBITMQ', 'ACTIVEMQ', 'TCP/IP', 'LINUX', 'DESIGN PATTERN']","['JAVA', 'SQL']",2,6,True,False,47.75,['Hà Nội'],25400000.0,63500000.0,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,2 năm,Nhân viên,CÔNG TY CỔ PHẦN STRINGEE,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-stringee/75841.html,24/05/2025,https://www.topcv.vn/viec-lam/java-developer-luong-upto-2500/1707398.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:47:08,Backend Developer
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),"['BPMN', 'DMN', 'SQL', 'RESTFULL API', 'WEB SERVICE', 'AGILE', 'SCRUM', 'CRM', 'HRM', 'ERP']",['SQL'],2,6,True,False,44.0,['Hà Nội'],16000000.0,,3,['Tiếng Việt'],Toàn thời gian,Đại Học trở lên,2 năm,Nhân viên,CÔNG TY TNHH LIÊN DOANH XÚC TIẾN ĐẦU TƯ VÀ HỢP TÁC QUỐC TẾ FDI,Tài chính,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lien-doanh-xuc-tien-dau-tu-va-hop-tac-quoc-te-fdi/150171.html,24/05/2025,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst/1707395.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:47:28,Business Analyst (Phân tích nghiệp vụ)
Chuyên viên Lập trình,"['MICROSERVICE', 'OOP', 'SPRINGBOOT', 'NESTJS', 'EXPRESSJS']","['JAVA', 'C#', '.NET', 'NODEJS', 'SQL']",,,False,False,,['Hà Nội'],,20000000.0,3,['tiếng Anh'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone,IT - Phần mềm,https://www.topcv.vn/cong-ty/trung-tam-dich-vu-so-mobifone-chi-nhanh-tong-cong-ty-vien-thong-mobifone/201084.html,22/05/2025,https://www.topcv.vn/viec-lam/chuyen-vien-lap-trinh-nghi-thu-7-chu-nhat-thu-nhap-hap-dan/1705114.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:47:48,Fullstack Developer
Chuyên Viên Giải Pháp,"['JIRA', 'UML', 'DRAW.IO', 'MICROSOFT VISIO']",,2,6,False,False,,['Hà Nội'],,20000000.0,3,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone,IT - Phần mềm,https://www.topcv.vn/cong-ty/trung-tam-dich-vu-so-mobifone-chi-nhanh-tong-cong-ty-vien-thong-mobifone/201084.html,22/05/2025,https://www.topcv.vn/viec-lam/chuyen-vien-giai-phap-nghi-thu-7-chu-nhat-thu-nhap-hap-dan/1705099.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:48:07,Fullstack Developer
Devops Engineer,"['JENKINS', 'GITLAB CI', 'CIRCLECI', 'DOCKER', 'KUBERNETES', 'NEXUS', 'HARBOR', 'HELM', 'PROMETHEUS', 'GRAFANA', 'AWS CLOUDFORMATION', 'TERRAFORM', 'CDK', 'LINUX', 'MYSQL', 'POSTGRESQL', 'MONGODB', 'NETWORKING', 'FIREWALLS', 'LOAD BALANCERS', 'HIGH AVAILABILITY']","['JAVA', 'PYTHON', 'BASH', 'SQL', 'NOSQL']",2,6,True,False,46.25,['Hà Nội'],19200000.0,36000000.0,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,CÔNG TY CỔ PHẦN STRINGEE,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-stringee/75841.html,21/05/2025,https://www.topcv.vn/viec-lam/devops-engineer-luong-upto-1500/1703495.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:48:25,DevOps Engineer
Manual Tester,,,2,6,False,False,45.0,['Hà Nội'],15000000.0,,2,"['tiếng Việt', 'tiếng Anh']",Toàn thời gian,Cao Đẳng trở lên,1 năm,Nhân viên,CÔNG TY TNHH CÔNG NGHỆ FUJILOGIC,Khác,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-fujilogic/174937.html,21/05/2025,https://www.topcv.vn/viec-lam/manual-tester-tai-ha-noi-muc-luong-15-trieu-thang/1702100.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:48:44,Manual Tester
Nhân Viên Shopify Developer Web & Wordpress,"['SHOPIFY', 'WORDPRESS', 'LIQUID', 'GIT', 'MYSQL', 'SQL SERVER', 'REST API']","['JAVASCRIPT', 'REACT', 'VUEJS', 'ANGULARJS', 'SQL']",2,6,True,False,42.0,"['Hà Nội', 'Thái Nguyên']",15000000.0,20000000.0,2,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,VĂN PHÒNG ĐẠI DIỆN MAX BIOCARE PTY LTD TẠI HÀ NỘI,Bán lẻ - Hàng tiêu dùng - FMCG,https://www.topcv.vn/cong-ty/van-phong-dai-dien-max-biocare-pty-ltd-tai-ha-noi/208613.html,18/05/2025,https://www.topcv.vn/viec-lam/nhan-vien-shopify-developer-web-wordpress-tu-1-nam-kinh-nghiem/1700826.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:49:06,Frontend Developer
Tech Leader (Vuejs),['SHOPIFY'],['JAVASCRIPT'],2,6,False,False,45.25,['Hà Nội'],30000000.0,40000000.0,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,3 năm,Trưởng nhóm,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ PHÁT TRIỂN CÔNG NGHỆ BEAE VIỆT NAM,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dich-vu-va-phat-trien-cong-nghe-beae-viet-nam/74636.html,17/05/2025,https://www.topcv.vn/viec-lam/tech-leader-vuejs-luong-tu-30-40-trieu-thuong/1697388.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:49:25,Frontend Developer
Fresher Software Developer,"['HTML', 'CSS', 'JAVASCRIPT', 'JQUERY', 'REACT.JS', 'VUE.JS', 'VUEX', 'GIT', 'JIRA', 'CONFLUENCE', 'CI/CD', 'SPRING MVC', 'SPRING BOOT', 'SPRING JPA', 'OOP', 'REST API', 'SQL', 'NOSQL', '.NET C#', 'WPF', 'ORACLE', 'MICROSERVICES', 'SVN', 'MERCURIAL']","['JAVA', 'PYTHON', 'C#', 'SQL', 'NOSQL']",2,6,False,False,40.0,['Hà Nội'],,,5,"['tiếng Anh', 'tiếng Việt']",Toàn thời gian,Đại Học trở lên,Không yêu cầu,Nhân viên,Công Ty TNHH LG CNS VIỆT NAM,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lg-cns-viet-nam/139535.html,16/05/2025,https://www.topcv.vn/viec-lam/fresher-software-developer/1695948.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:49:44,Software Engineer
AI Engineer,"['OPENCV', 'TENSORFLOW', 'KERAS', 'PYTORCH', 'GIT', 'DOCKER', 'REST API', 'NUMPY', 'SCIPY']","['PYTHON', 'SQL']",,,,,,['Hà Nội'],17000000.0,25000000.0,1,['tiếng Việt'],Toàn thời gian,Đại Học trở lên,1 năm,Nhân viên,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,IT - Phần mềm,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-cong-nghe-va-thuong-mai-softdreams/17639.html,15/05/2025,https://www.topcv.vn/viec-lam/ai-engineer-tu-1-nam-kinh-nghiem-thu-nhap-17-25-trieu-thang/1695005.html?ta_source=ITJobs_LinkDetail,01/05/2025 20:50:02,AI Engineer
